,Name,N,Model Index,p,Tau,Lambda,MSE,NRMSE
28,Gaussian,50,1,10,1,0.2,2.590873009467032e-07,22.533491512548466
29,Gaussian,50,1,10,2,0.2,9.714936055615908e-08,22.748083012898444
30,Gaussian,50,1,10,5,0.05,2.0116495136335288e-07,22.63488351328887
31,Gaussian,50,1,10,10,0.2,3.1081387419362727e-07,22.59543764768088
32,Hard Bimodal,50,2,1,1,0.0,0.042098723351955414,22.468734380427463
33,Hard Bimodal,50,2,1,2,0.0,8.708226232556626e-05,0.9416037071471052
34,Hard Bimodal,50,2,1,5,0.0,0.006347981281578541,8.281487688216298
35,Hard Bimodal,50,2,1,10,0.05,0.04481109604239464,22.457537786185927
36,Hard Bimodal,50,2,2,1,0.05,0.004729943349957466,22.396964603211302
37,Hard Bimodal,50,2,2,2,0.0,0.0007185330614447594,6.780816833443515
38,Hard Bimodal,50,2,2,5,0.0,0.0027403838466852903,13.681509440172288
39,Hard Bimodal,50,2,2,10,0.0,0.006267340388149023,22.379444554640287
40,Hard Bimodal,50,2,5,1,0.05,0.00010587263386696577,22.456213497787267
41,Hard Bimodal,50,2,5,2,0.0,4.4316846469882876e-05,13.924290440012104
42,Hard Bimodal,50,2,5,5,0.0,7.382090552709997e-05,16.592042307079677
43,Hard Bimodal,50,2,5,10,0.0,8.732122660148889e-05,22.625611017733448
44,Hard Bimodal,50,2,10,1,0.2,2.74347570439204e-07,22.3998265123461
45,Hard Bimodal,50,2,10,2,0.0,1.816081720562579e-07,19.577768040939798
46,Hard Bimodal,50,2,10,5,0.0,4.023191024771222e-07,20.230425380697866
